iteration,kDOC,kA,lA,pA,hA,mA,decay,cA,v,rec,SSE
result.20,0.636745695,0.004590311,0.121451463,0.854169334,72.35235482,7.382638163,0.009507275,0.022747124,0.010033749,0.24816946,70261414.82
result.21,0.554105328,0.001589672,0.048577639,0.951647924,64.43323968,5.32231181,0.007568657,0.017574796,0.031387262,0.620163601,64540348.94
result.22,0.250369493,0.000780799,0.10025849,1.004450805,78.6030731,6.016064493,0.000733201,0.009032594,0.024619479,0.405548036,62646071.6
result.23,0.470752098,0.004478965,0.044259781,1.561854833,61.04716053,0.460781569,0.008068994,0.007633483,0.042771279,0.983930592,53003029.58
result.24,0.683635761,0.004619299,0.087854313,1.524380481,31.63249206,2.241690036,0.006802043,0.006057411,0.018196317,0.378259612,56338061.43
result.25,0.526776508,0.000819026,0.089263117,1.260925833,61.87610848,4.059336549,0.009728767,0.017106758,0.038272154,0.4926347,66023668.63
result.26,0.246976085,0.001341166,0.235947914,1.493254209,87.19648454,8.02742021,0.00049943,0.015196816,0.030590216,0.597522332,63332041.01
result.27,0.161538118,0.00116531,0.116368649,0.564791489,32.7102999,9.439765909,0.003465328,0.021009335,0.040878794,0.863562492,57775767.94
result.28,0.36349521,0.004250048,0.166878227,1.463207225,31.73305308,5.778504186,0.00330923,0.007051798,0.045847588,0.468652384,57921817.3
result.29,0.209441693,0.003008994,0.136413073,1.552358505,44.79714241,9.441397144,0.00215885,0.010927494,0.022959598,0.232282077,65102796.5
result.30,0.691579765,0.001026347,0.08734014,0.39664749,72.33715924,9.52166725,0.003476519,0.020620168,0.039912771,0.444184959,72106440.15
result.31,0.648361934,0.00107146,0.02559979,0.980364877,83.14745193,5.923654924,0.008971365,0.018511826,0.016030086,0.911733675,58261759.95
result.32,0.062567353,0.002102326,0.065088363,0.57982365,53.55036462,2.218260273,0.009793863,0.015084549,0.035335436,0.965855702,56342809.64
result.33,0.249592984,0.000201919,0.05845596,1.754673575,99.38141735,5.652367265,0.004708536,0.024749266,0.026428162,0.968681383,54604748.27
result.34,0.216576543,0.001643769,0.257429172,0.16427501,96.75242793,3.615576559,0.002804648,0.022951495,0.048568023,0.492528099,74465267.25
result.35,0.668596811,0.00230264,0.153322356,0.558067016,73.79055874,6.349284312,0.008914832,0.01039827,0.044985811,0.340746071,69554824.91
result.36,0.110724578,0.001598645,0.061432451,1.962407901,27.55045736,1.958071971,0.008770797,0.007735928,0.014565,0.847685599,52195852.55
result.37,0.139924263,0.002960158,0.069774647,0.867370194,55.32496441,6.662281216,0.004990512,0.022300649,0.03861363,0.864413395,60841869.82
result.38,0.187196059,0.003137745,0.136494249,0.955886568,52.05921574,1.474976386,0.005525244,0.009380311,0.038935591,0.660188867,57200181.46
